id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
118485,,60178,2890,Gl 278B,Gemini,,7.576827,31.89052,15.8053,-162.69,-98.14,-1.2,2.85,1.856,A m,,-5.383676,12.292323,8.349873,0.00001024,0.00000769,-0.00000703,1.983608717,0.556594568,-7.88743E-07,-4.75801E-07,Alp,66,Gem,2,36744,Gl 278,15.76158905,,,
96858,97165,186882,7528,,Delphinus,,19.749574,45.13081,50.5817,43.22,48.44,-20,2.86,-0.66,B9.5III,-0.002,15.779435,-32.006459,35.8481,-0.0000006,0.00002518,-0.00000612,5.170426442,0.787681222,2.09536E-07,2.34844E-07,Del,18,Cyg,1,96858,,159.9558029,,,
30270,30343,44478,2286,,Gemini,,6.382673,22.513586,71.0227,56.84,-108.79,55,2.87,-1.387,M3IIIvar,1.621,-6.562116,65.281443,27.194957,-0.0000261,0.00006402,-0.00001306,1.670979989,0.392936199,2.75568E-07,-5.27429E-07,Mu,13,Gem,1,30270,,312.4640086,Mu,2.946,2.826
36087,36188,58715,2845,,Canis Minor,Gomeisa,7.452512,8.289315,49.5786,-50.28,-38.45,22,2.89,-0.586,B8Vvar,-0.097,-18.209817,45.556204,7.147858,0.00000246,0.0000264,-0.0000059,1.951063059,0.144675847,-2.43764E-07,-1.86411E-07,Bet,3,CMi,1,36087,,149.4169957,Bet,2.896,2.876
62925,63125,112413,4915,,Canes Venatici,Cor Caroli,12.933807,38.31838,35.1989,-233.43,54.98,-3,2.89,0.157,A0spe...,-0.115,-26.795114,-6.684223,21.824384,-0.00000166,0.00004064,0.00000546,3.386062718,0.66878189,-1.1317E-06,2.66551E-07,Alp-2,12,CVn,1,62925,,75.37025767,Alp-2,2.943,2.863
18485,18532,24760,1220,,Perseus,,3.96423,40.010215,195.6947,12.61,-24.06,1,2.9,-3.558,B0.5V,-0.199,76.156467,129.09969,125.816858,-0.00000245,0.00001939,-0.00001682,1.03783302,0.698309979,6.1135E-08,-1.16646E-07,Eps,45,Per,1,18485,,2307.80973,Eps,2.916,2.886
14292,14328,18925,915,,Perseus,,3.079942,53.50644,74.5712,0.5,-4.19,3,2.91,-1.453,G8III+...,0.716,30.696986,32.009546,59.949578,0.00000198,0.00000232,0.00000157,0.806326879,0.933863549,2.42407E-09,-2.03137E-08,Gam,23,Per,1,14292,,332.0473358,Gam,2.922,2.902
111804,112158,215182,8650,,Pegasus,Matar,22.716704,30.221245,65.703,13.11,-26.11,4,2.93,-1.158,G2II-III..,0.852,53.59916,-18.717064,33.070991,0.00000867,0.0000014,-0.00000513,5.947219325,0.527460231,6.35591E-08,-1.26585E-07,Eta,44,Peg,1,111804,,253.0463049,,,
26386,26451,37202,1910,,Taurus,,5.627413,21.142549,136.4256,2.39,-18.04,20,2.97,-2.704,B4IIIp,-0.148,12.391949,126.637551,49.207351,0.0000007,0.00002342,-0.00000375,1.473253191,0.369007094,1.1587E-08,-8.74604E-08,Zet,123,Tau,1,26386,,1050.993427,Zet,3.032,2.902
47772,47908,84441,3873,,Leo,Ras Elased Australis,9.764188,23.774255,75.643,-46.09,-9.57,4,2.97,-1.424,G0II,0.808,-57.700126,38.244772,30.494289,0.00000504,0.00001694,-0.00000156,2.556258344,0.41493902,-2.23451E-07,-4.63967E-08,Eps,17,Leo,1,47772,,323.2957534,,,
93452,93747,177724,7235,NN 4095A,Aquila,,19.090169,13.863478,25.4582,-7.04,-95.31,-25,2.99,0.961,A0Vn,0.014,6.95881,-23.716532,6.099966,-0.00000703,0.00002087,-0.00001755,4.997794545,0.241963339,-3.41309E-08,-4.62076E-07,Zet,17,Aql,1,93452,NN 4095,35.94181463,,,
74868,75097,137422,5735,,Ursa Minor,,15.345483,71.834016,149.2537,-18.03,17.68,-4,3,-2.87,A3II-III,0.058,-29.797327,-35.741213,141.814461,-0.00000142,0.00001867,0.0000001,4.017438041,1.253740093,-8.74119E-08,8.57151E-08,Gam,13,UMi,1,74868,,1224.616199,Gam,3.016,2.996
54380,54539,96833,4335,,Ursa Major,,11.161062,44.498487,44.3066,-62.35,-27.38,-4,3,-0.232,K1III,1.144,-30.843315,6.88533,31.054046,0.00000174,0.00001333,-0.00000706,2.921959184,0.776645106,-3.02281E-07,-1.32742E-07,Psi,52,UMa,1,54380,,107.8449963,,,
10041,10064,13161,622,,Triangulum,,2.159058,34.987297,38.8954,148.78,-39.13,10,3,0.051,A5III,0.14,26.909766,17.068198,22.302471,-0.00000438,0.00003044,-0.00000018,0.565239979,0.610643527,7.21306E-07,-1.89708E-07,Bet,4,Tri,1,10041,,83.0998041,,,
17316,17358,22928,1122,,Delphinus,,3.715416,47.787551,158.2278,23.83,-41.93,4,3.01,-2.986,B5III SB,-0.125,59.860731,87.855481,117.192812,-0.00000014,0.00003225,-0.00001858,0.972693515,0.834050111,1.15531E-07,-2.03282E-07,Del,39,Per,1,17316,,1362.699197,Del,3.02,3
23361,23416,31964,1605,,Auriga,,5.032815,43.823308,653.5948,0.18,-2.31,-3,3.03,-6.047,F0Ia,0.537,118.129799,456.518488,452.57303,0.00000016,0.00000291,-0.00000741,1.317587892,0.764861019,8.72665E-10,-1.11992E-08,Eps,7,Aur,1,23361,,22845.46489,Eps,3.085,2.935
70851,71075,127762,5435,,Bootes,,14.534636,38.308253,26.6099,-115.55,151.87,-37,3.04,0.915,A7IIIvar,0.191,-16.449442,-12.860715,16.49506,0.00002378,0.00003751,-0.00000808,3.805158858,0.668605138,-5.60202E-07,7.36287E-07,Gam,27,Boo,1,70851,,37.49730022,Gam,3.052,3.032
95648,95947,183912,7417,,Cygnus,Albireo,19.512023,27.959681,133.1558,-7.09,-5.63,-24,3.05,-2.572,K3II+...,1.088,45.350466,-108.51838,62.430012,-0.00001193,0.00001667,-0.00001472,5.108235547,0.487988492,-3.43733E-08,-2.7295E-08,Bet-1,6,Cyg,1,95648,,930.6791832,,,
32161,32246,48329,2473,,Gemini,,6.732202,25.131124,259.0674,-5.93,-12.81,10,3.06,-4.007,A3mA6-A9,1.377,-44.684834,230.247724,110.023705,0.00000425,0.00001722,-0.00001022,1.762486296,0.438620861,-2.87495E-08,-6.21046E-08,Eps,27,Gem,1,32161,,3489.795674,,,
